ticket_id,customer_id,issue_type,issue_description,priority,date_submitted,response_time_minutes,resolution_time_minutes,satisfaction_rating,customer_comments,agent_id,resolved
T0056,C1006,UI Bug,Dashboard widgets not updating in real-time.,Low,2023-07-10,175,290,4,Appreciate the workaround provided while fixing the bug.,A004,True
T0057,C1007,Feature Request,Need advanced filtering capabilities.,Medium,2023-07-11,140,980,5,New feature implementation exceeded expectations.,A003,True
T0058,C1008,Login Issue,SSO integration not working with new provider.,High,2023-07-12,65,780,2,Multiple back-and-forth communications needed.,A002,False
T0059,C1009,Report Generation,Custom reports throwing timeout errors.,Critical,2023-07-13,55,670,3,Temporary solution provided while investigating root cause.,A005,False
T0060,C1010,Billing Issue,Invoice generation delayed for current month.,High,2023-07-14,90,340,4,Billing team was very responsive and helpful.,A001,True
T0061,C1011,Data Export,Export functionality failing for large datasets.,Medium,2023-07-15,110,550,3,Would appreciate better progress indicators.,A004,True
T0062,C1012,API Issue,Rate limiting issues affecting production.,Critical,2023-07-16,40,460,5,Emergency response was excellent.,A002,True
T0063,C1013,Security Issue,2FA not working with backup codes.,High,2023-07-17,75,380,4,Security team provided clear guidance.,A003,True
T0064,C1014,Performance Issue,Memory usage spikes during peak hours.,High,2023-07-18,95,720,2,Need more proactive monitoring.,A005,False
T0065,C1015,UI Bug,Mobile responsive design issues on new pages.,Low,2023-07-19,150,400,4,Design team was collaborative in finding solution.,A004,True
T0066,C1016,Feature Request,Need API webhook functionality.,Medium,2023-07-20,130,840,3,Feature scope well-defined after initial discussion.,A001,True
T0067,C1017,Login Issue,Password reset emails delayed.,Medium,2023-07-21,80,290,5,Issue resolved quickly once identified.,A002,True
T0068,C1018,Report Generation,Scheduled reports not triggering.,High,2023-07-22,70,510,4,Good communication throughout resolution process.,A003,True
T0069,C1019,Data Import,XML import validation errors.,Low,2023-07-23,160,630,3,Better error messages would help troubleshooting.,A005,False
T0070,C1020,API Issue,Webhook deliveries failing intermittently.,High,2023-07-24,100,480,4,Monitoring improvements implemented during resolution.,A004,True
